Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/tasks/69ba6b98cfc15ea9c122ac5e,1,0,121.02860400000282,121.02860400000282,121.02860400000282,121.02860400000282,186.0,0.017339164950200662,0.0,120,120,120,120,120,120,120,120,120,120,120
PATCH,/api/tasks/69ba6b98cfc15ea9c122ac5e,1,1,152.95110199986084,152.95110199986084,152.95110199986084,152.95110199986084,42.0,0.017339164950200662,0.017339164950200662,150,150,150,150,150,150,150,150,150,150,150
DELETE,/api/tasks/69ba6b98cfc15ea9c122ac5f,1,0,289.4837080002617,289.4837080002617,289.4837080002617,289.4837080002617,31.0,0.017339164950200662,0.0,290,290,290,290,290,290,290,290,290,290,290
GET,/api/tasks/69ba6b98cfc15ea9c122ac5f,1,0,95.24409300001935,95.24409300001935,95.24409300001935,95.24409300001935,186.0,0.017339164950200662,0.0,95,95,95,95,95,95,95,95,95,95,95
PATCH,/api/tasks/69ba6b98cfc15ea9c122ac5f,1,1,152.72825000010926,152.72825000010926,152.72825000010926,152.72825000010926,42.0,0.017339164950200662,0.017339164950200662,150,150,150,150,150,150,150,150,150,150,150
DELETE,/api/tasks/69ba6b98cfc15ea9c122ac60,1,0,474.7877330000847,474.7877330000847,474.7877330000847,474.7877330000847,31.0,0.017339164950200662,0.0,470,470,470,470,470,470,470,470,470,470,470
GET,/api/tasks/69ba6b98cfc15ea9c122ac60,1,0,173.225452999759,173.225452999759,173.225452999759,173.225452999759,186.0,0.017339164950200662,0.0,170,170,170,170,170,170,170,170,170,170,170
PATCH,/api/tasks/69ba6b98cfc15ea9c122ac60,1,1,228.3812119999311,228.3812119999311,228.3812119999311,228.3812119999311,42.0,0.017339164950200662,0.017339164950200662,230,230,230,230,230,230,230,230,230,230,230
DELETE,/api/tasks/69ba6b99cfc15ea9c122ac61,1,0,692.9044769999564,692.9044769999564,692.9044769999564,692.9044769999564,31.0,0.017339164950200662,0.0,690,690,690,690,690,690,690,690,690,690,690
GET,/api/tasks/69ba6b99cfc15ea9c122ac61,1,0,443.36036200002127,443.36036200002127,443.36036200002127,443.36036200002127,186.0,0.017339164950200662,0.0,440,440,440,440,440,440,440,440,440,440,440
PATCH,/api/tasks/69ba6b99cfc15ea9c122ac61,1,1,185.2297210002689,185.2297210002689,185.2297210002689,185.2297210002689,42.0,0.017339164950200662,0.017339164950200662,190,190,190,190,190,190,190,190,190,190,190
DELETE,/api/tasks/69ba6b99cfc15ea9c122ac62,1,0,703.030545999809,703.030545999809,703.030545999809,703.030545999809,31.0,0.017339164950200662,0.0,700,700,700,700,700,700,700,700,700,700,700
GET,/api/tasks/69ba6b99cfc15ea9c122ac62,1,0,437.99527200008015,437.99527200008015,437.99527200008015,437.99527200008015,186.0,0.017339164950200662,0.0,440,440,440,440,440,440,440,440,440,440,440
PATCH,/api/tasks/69ba6b99cfc15ea9c122ac62,1,1,182.08265300017956,182.08265300017956,182.08265300017956,182.08265300017956,42.0,0.017339164950200662,0.017339164950200662,180,180,180,180,180,180,180,180,180,180,180
DELETE,/api/tasks/69ba6b99cfc15ea9c122ac63,1,0,458.34961800028395,458.34961800028395,458.34961800028395,458.34961800028395,31.0,0.017339164950200662,0.0,460,460,460,460,460,460,460,460,460,460,460
GET,/api/tasks/69ba6b99cfc15ea9c122ac63,1,0,243.4883109999646,243.4883109999646,243.4883109999646,243.4883109999646,186.0,0.017339164950200662,0.0,240,240,240,240,240,240,240,240,240,240,240
PATCH,/api/tasks/69ba6b99cfc15ea9c122ac63,1,1,970.9149039999829,970.9149039999829,970.9149039999829,970.9149039999829,42.0,0.017339164950200662,0.017339164950200662,970,970,970,970,970,970,970,970,970,970,970
DELETE,/api/tasks/69ba6b99cfc15ea9c122ac64,1,0,268.17297000025064,268.17297000025064,268.17297000025064,268.17297000025064,31.0,0.017339164950200662,0.0,270,270,270,270,270,270,270,270,270,270,270
GET,/api/tasks/69ba6b99cfc15ea9c122ac64,1,0,708.3029700002044,708.3029700002044,708.3029700002044,708.3029700002044,186.0,0.017339164950200662,0.0,710,710,710,710,710,710,710,710,710,710,710
PATCH,/api/tasks/69ba6b99cfc15ea9c122ac64,1,1,695.6818230000863,695.6818230000863,695.6818230000863,695.6818230000863,42.0,0.017339164950200662,0.017339164950200662,700,700,700,700,700,700,700,700,700,700,700
DELETE,/api/tasks/69ba6b99cfc15ea9c122ac65,1,0,240.5550629996469,240.5550629996469,240.5550629996469,240.5550629996469,31.0,0.017339164950200662,0.0,240,240,240,240,240,240,240,240,240,240,240
GET,/api/tasks/69ba6b99cfc15ea9c122ac65,1,0,715.1599399999213,715.1599399999213,715.1599399999213,715.1599399999213,186.0,0.017339164950200662,0.0,720,720,720,720,720,720,720,720,720,720,720
PATCH,/api/tasks/69ba6b99cfc15ea9c122ac65,1,1,698.4046710003895,698.4046710003895,698.4046710003895,698.4046710003895,42.0,0.017339164950200662,0.017339164950200662,700,700,700,700,700,700,700,700,700,700,700
DELETE,/api/tasks/69ba6b99cfc15ea9c122ac66,1,0,254.13882700013346,254.13882700013346,254.13882700013346,254.13882700013346,31.0,0.017339164950200662,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,/api/tasks/69ba6b99cfc15ea9c122ac66,1,0,698.5156230002758,698.5156230002758,698.5156230002758,698.5156230002758,186.0,0.017339164950200662,0.0,700,700,700,700,700,700,700,700,700,700,700
PATCH,/api/tasks/69ba6b99cfc15ea9c122ac66,1,1,695.650655999998,695.650655999998,695.650655999998,695.650655999998,42.0,0.017339164950200662,0.017339164950200662,700,700,700,700,700,700,700,700,700,700,700
DELETE,/api/tasks/69ba6b9acfc15ea9c122ac67,1,0,241.87735799978327,241.87735799978327,241.87735799978327,241.87735799978327,31.0,0.017339164950200662,0.0,240,240,240,240,240,240,240,240,240,240,240
GET,/api/tasks/69ba6b9acfc15ea9c122ac67,1,0,647.7144639998187,647.7144639998187,647.7144639998187,647.7144639998187,186.0,0.017339164950200662,0.0,650,650,650,650,650,650,650,650,650,650,650
PATCH,/api/tasks/69ba6b9acfc15ea9c122ac67,1,1,692.8444939999281,692.8444939999281,692.8444939999281,692.8444939999281,42.0,0.017339164950200662,0.017339164950200662,690,690,690,690,690,690,690,690,690,690,690
